card_name,issuer,card_tier,joining_fee,annual_fee,min_income_annual_lakhs,base_reward_rate,reward_unit,point_value,travel_multiplier,air_india_transfer_ratio,milestone_ticket,domestic_lounge,international_lounge,forex_markup,reward_redemption_fee,is_ltf,search_tags,monthly_reward_cap,lounge_cap_details,retention_spend_req,forex_effective,emirates_suitability,notes_tnc,fuel_reward_rate,fuel_cap,surcharge_waiver,Transaction Range (min – max),~,multiplier_channel,direct_booking_rate,airline_partners__001,airline_partners__002,airline_partners__003,airline_partners__004,points_redemption_value_travel,instant_discount_eligible,booking_convenience_fee_waiver,grocery_rate,dining_rate,movie_rate,lifestyle_cap,milestone_benefit,joining_benefit,airline_transfer_json,hotel_transfer_json,gift_vouchers,detailed_rewards_json
Federal Scapia,Federal,Entry,0,0,6,4%,Coins,0.2,1,0.0,No,Unlimited,0,0%,0.0,True,"travel, zero_forex, dubai",,₹20k Monthly Spend,,0%,High,Lounge access spend raised to ₹20k in 2026.,0.00%,₹250.00,1.00%,₹400 - ₹5000,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,2.0%,2.0%,2.0%,No Cap,Unlimited Lounge on ₹5k spend,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""4%""}"
AU Zenith+,AU,Ultra,4999,4999,30,1%,Points,0.25,2,1.0,No,16,16,0.99%,99.0,False,"premium, rewards, lounge",AU Premium Caps,Spend-based,,1.17%,Med-High,Low forex; Dining/Intl rewards cut by 50% (2026).,0.00%,"₹1,000.00",1.00%,₹400 - ₹5000,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,2.0%,3.0%,1%,No Cap,High Spend Vouchers,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
Amex Platinum,Amex,Ultra,60000,60000,40,2.5%,Points,1.0,1,1.0,No,Unlimited,Unlimited,3.5%,0.0,False,"metal, luxury, concierge",Amex High-End,Unlimited,,3.89%,Med,Metal card; concierge focus; no spend criteria.,0.00%,No Cap*,Convenience Fee,Under ₹5000,HPCL Only,Amex Travel / Reward Multiplier,Base MR,IndiGo (via Miles),Air India,Singapore Air,,0.4,Platinum Private Deals,0,2.5%,2.5%,2.5%,No Cap,Fee Waiver only,"4,000 to 10,000 Bonus Points","{""Air India"": ""1:1"", ""Vistara"": ""1:1"", ""Emirates"": ""1:0.5""}","{""Marriott"": ""1:1"", ""Hilton"": ""1:1""}",Amex Gold Collection Vouchers,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Multiplier"": ""2x - 5x via Reward Multiplier""}"
ICICI Emeralde Pvt,ICICI,Ultra,12500,12500,50,1%,Points,1.0,1,1.0,No,Unlimited,Unlimited,1.5%,99.0,False,"private_banking, luxury",ICICI Premium Caps,Unlimited,,1.77%,High,Private banking only; very low forex markup.,0.00%,No Cap*,1.00%,No Limit*,All Stations,Direct / MakeMyTrip,1%,All major,,,,0.25,10% ICICI Tuesdays,0,2.0%,3.0%,1%,No Cap,High Spend Vouchers,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
SBI Aurum,SBI,Ultra,5000,5000,42,1%,Points,0.25,1,1.0,No,Unlimited,Unlimited,1.99%,99.0,False,"exclusive, luxury, lounge",SBI Premium Caps,Unlimited,,2.35%,Med,Invite-only; high-end lifestyle rewards.,0.00%,₹250.00,1.00%,₹500 - ₹5000,All Stations,Direct & SBI Card Portal,0.25%-1.25%,Air India,Vistara,IndiGo,,0.25,10% SBI Sales,0,2.0%,3.0%,1%,No Cap,High Spend Vouchers,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
SCB Ultimate,Standard Chartered,Premium,5000,5000,36,3.3%,Points,1.0,1,1.0,No,16,4,2%,99.0,False,"travel, high_rewards",SCB Caps,4/Qtr Dom,,2.36%,Med,Flat 3.3% reward rate; 1:1 mile transfer.,0.00%,"₹1,000.00",1.00%,₹400 - ₹5000,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,2.0%,3.0%,3.3%,No Cap,High Spend Vouchers,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
Axis Horizon,Axis,Premium,3000,3000,18,2%,Miles,1.0,1,1.0,No,32,8,2%,199.0,False,"travel, miles, dubai",Axis Tiered,Spend-based,,2.36%,Med,Best for domestic lounge volume (32/yr).,0.00%,₹400.00,1.00%,₹400 - ₹4000,All Stations,Direct & Travel Edge,1%-2%,Vistara,Air India,IndiGo,Akasa,0.2,10% on Cleartrip/Yatra,0,2.0%,3.0%,2%,No Cap,High Spend Vouchers,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
HDFC Regalia Gold,HDFC,Premium,2500,2500,15,1.3%,Points,0.5,5,0.5,No,12,6,2%,99.0,False,"travel, lifestyle, air_india",HDFC Caps,₹1L/Qtr for Lounge,,2.36%,Med,Travel multipliers; uses voucher system for lounge.,0.00%,₹500.00,1.00%,₹400 - ₹5000,All Stations,SmartBuy Portal,0.33%-1%,IndiGo,Air India,Vistara,SpicelJet,1.0,10% on SmartBuy (Cycles),0,5.0%,5.0%,5.0%,"4,000 RP (Accelerated)",₹1.5k Vouchers @ ₹1.5L/₹5L,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
Marriott HDFC,HDFC,Premium,3000,3000,15,1.3%,Points,1.0,1,0.0,No,12,12,2%,99.0,False,"hotel, marriott, bonvoy",HDFC Caps (₹10L/mth Marriott),₹1L/Qtr for Lounge,,2.36%,Low-Med,"Free night (15k pts) on join/renewal; 8x Marriott stays.""[web:27][web:36]",0.00%,₹250.00,1.00%,₹400 - ₹5000,All Stations,SmartBuy Portal,0.33%-1%,IndiGo,Air India,Vistara,SpicelJet,1.0,10% on SmartBuy (Cycles),0,2.0%,3.0%,1.3%,No Cap,High Spend Vouchers,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
YES Marquee,YES,Ultra,9999,9999,50,1.25%,Points,0.25,1,1.0,No,Unlimited,Unlimited,1.75%,99.0,False,"premium, travel",YES Premium Caps,Unlimited (Guest Inc),,2.07%,Med,Unlimited guest lounge access.,0.00%,"₹1,000.00",1.00%,₹400 - ₹5000,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,2.0%,3.0%,1.25%,No Cap,High Spend Vouchers,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
IndusInd Avios,IndusInd,Ultra,40000,10000,50,2%,Avios,1.0,1,1.0,No,8,8,1.5%,0.0,False,"travel, british_airways",IndusInd Caps,Spend-based,,1.77%,High,40k Avios welcome (2026 limited); BA focus.,0.00%,₹600.00,1.00%,₹400 - ₹4000,All Stations,Direct & Avios Website,2%-5% (Co-branded),British Airways,Qatar Airways,Finnair,,1.0,Bank Holidays,0,2.0%,3.0%,2%,No Cap,High Spend Vouchers,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
SBI Miles Elite,SBI,Premium,4999,4999,18,1.5%,Miles,1.0,1,1.0,No,8,6,1.99%,99.0,False,"travel, miles, sbi",SBI Caps,Spend-based,,2.35%,Med,1:1 transfers to partners.,0.00%,₹500.00,1.00%,₹500 - ₹5000,All Stations,Direct & SBI Card Portal,0.25%-1.25%,Air India,Vistara,IndiGo,,0.25,10% SBI Sales,0,2.0%,3.0%,1.5%,No Cap,High Spend Vouchers,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
Amazon Pay ICICI,ICICI,Entry,0,0,3,1%,Cashback,1.0,1,0.0,No,0,0,3.5%,0.0,True,"amazon, shopping, online",,,,3.89%,Low,1.99% DCC fee (2026); Amazon optimized.,0.00%,₹200.00,1.00%,₹400 - ₹4000,All Stations,Amazon Pay / Direct,1% (Rewards),All,,,,1.0,Amazon Flight Offers,0,1.0%,2.0%,2.0%,No Cap,Prime Membership Benefits,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""1%""}"
Flipkart Axis,Axis,Entry,500,500,3,1.5%,Cashback,1.0,1,0.0,No,4,0,3.5%,0.0,False,"flipkart, shopping",Axis Entry Caps,4/Qtr (Dom),,3.89%,Low,1.5% unlimited non-partner.,0.00%,₹400.00,1.00%,₹400 - ₹4000,All Stations,Direct & Travel Edge,1%-2%,Vistara,Air India,IndiGo,Akasa,0.2,10% on Cleartrip/Yatra,0,1.5%,1.5%,1.5%,No Cap,Fee Waiver only,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""1.5%""}"
Airtel Axis,Axis,Entry,500,500,3.6,1%,Cashback,1.0,1,0.0,No,4,0,3.5%,0.0,False,"utility, airtel, bills",Capped (₹300/mo),4/Qtr (Dom),,3.89%,Low,25% Airtel; 10% BB/Zomato.,0.00%,₹500.00,1.00%,₹400 - ₹4000,All Stations,Airtel Thanks / Direct,1%,All,,,,1.0,10% Swiggy/Zomato (Indirect),0,1%,1%,1%,No Cap,Fee Waiver only,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""1%""}"
HSBC Live+,HSBC,Mid,999,999,12,1.5%,Cashback,1.0,1,0.0,No,4,0,3.5%,0.0,False,"dining, grocery",Capped (₹1k/mo),4/Qtr (Dom),,3.89%,Low,10% dining/grocery/food delivery.,0.00%,₹250.00,1.00%,₹400 - ₹4000,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,1.5%,2.0%,1.5%,No Cap,Annual Fee Waiver,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
Swiggy HDFC,HDFC,Entry,500,500,3,1%,Cashback,1.0,1,0.0,No,0,0,3.5%,0.0,False,"swiggy, food, dining",Capped (₹1.5k/mo),,,3.89%,Low,10% Swiggy; 5% top online.,0.00%,₹250.00,1.00%,₹400 - ₹5000,All Stations,SmartBuy Portal,0.33%-1%,IndiGo,Air India,Vistara,SpicelJet,1.0,10% on SmartBuy (Cycles),0,1%,1%,1%,No Cap,Fee Waiver only,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""1%""}"
Axis Ace,Axis,Entry,499,499,5,2%,Cashback,1.0,1,0.0,No,4,0,3.5%,0.0,False,"utility, bills, gpay",,4/Qtr (Dom),,3.89%,Low,5% GPay utils; 2% base.,0.00%,₹500.00,1.00%,₹400 - ₹4000,All Stations,Direct & Travel Edge,1%-2%,Vistara,Air India,IndiGo,Akasa,0.2,10% on Cleartrip/Yatra,0,2%,2%,2%,No Cap,Fee Waiver only,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""2%""}"
BPCL SBI Octane,SBI,Mid,2499,2499,12,6.25%,Points,0.25,1,0.0,No,4,0,3.5%,99.0,False,"fuel, bpcl, savings",SBI Fuel Caps,4/Qtr (Dom),,3.89%,Low,7.25% on BPCL fuel.,6.25%,₹100.00,1.00%,Under ₹4000,BPCL Only,Direct & SBI Card Portal,0.25%-1.25%,Air India,Vistara,IndiGo,,0.25,10% SBI Sales,0,10.0%,10.0%,10.0%,"7,500 RP (Monthly)",₹2k Voucher @ ₹3L Spend,"6,000 Bonus Reward Points","{""Air India"": ""10:1"", ""Vistara"": ""10:1""}","{""General"": ""N/A""}","Aditya Birla, Pantaloons, Bata","{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Fuel"": ""25 pts / \u20b9100"", ""Grocery"": ""10 pts / \u20b9100""}"
ixigo AU,AU,Mid,0,0,6,0.5%,Points,0.25,1,0.0,No,16,1,0%,99.0,True,"travel, zero_forex, trains",AU Zero Forex Caps,Spend-based,,0%,High,Zero forex; 16 railway lounges.,0.00%,₹250.00,1.00%,₹400 - ₹5000,All Stations,Direct & ixigo Website,2%-5% (Co-branded),Trains,Buses,IndiGo,Air India,1.0,Bank Holidays,0,0.5%,2.0%,0.5%,No Cap,Annual Fee Waiver,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""0.5%""}"
IndusInd Legend,IndusInd,Mid,0,0,18,0.75%,Points,0.75,1,0.5,No,4,0,1.8%,99.0,True,"ltf, golf, movies",IndusInd Caps,4/Qtr (Dom),,2.12%,Low,LTF; golf/movies BOGO.,0.00%,No Cap*,1.00%,₹400 - ₹4000,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,0.75%,2.0%,0.75%,No Cap,Annual Fee Waiver,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""0.75%""}"
IDFC Wealth,IDFC,Premium,0,0,18,1%,Points,0.25,1,0.5,No,8,8,1.5%,99.0,True,"premium, ltf, lounge",IDFC Caps,₹20k Monthly Spend,,1.77%,Med,Lounge ₹20k/mo (2026 update).,0.00%,₹300.00,1.00%,₹200 - ₹5000,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,2.0%,3.0%,1%,No Cap,High Spend Vouchers,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""1%""}"
ICICI Sapphiro,ICICI,Premium,6500,3500,9.6,0.5%,Points,0.25,1,0.5,No,16,8,3.5%,99.0,False,"movie, bogo, luxury",ICICI Caps,Spend-based,,3.89%,Med,Movie BOGO ₹500 2x/mo.,0.00%,No Cap*,1.00%,No Limit*,All Stations,Direct / MakeMyTrip,1%,All major,,,,0.25,10% ICICI Tuesdays,0,2.0%,3.0%,0.5%,No Cap,High Spend Vouchers,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
HDFC Millennia,HDFC,Mid,1000,1000,4.2,5%,Cashback,1.0,1,0.0,No,8,0,3.5%,99.0,False,"online, smartbuy",Capped (₹1k/mo),₹1L/Qtr Voucher,,3.89%,Low,Voucher lounge (no swipe).,0.00%,₹250.00,1.00%,₹400 - ₹5000,All Stations,SmartBuy Portal,0.33%-1%,IndiGo,Air India,Vistara,SpicelJet,1.0,10% on SmartBuy (Cycles),0,5%,2.0%,5%,No Cap,Annual Fee Waiver,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
RBL World Safari,RBL,Mid,3000,3000,12,1%,Points,0.25,1,0.0,No,8,8,0%,99.0,False,"travel, zero_forex",RBL Caps,Spend-based,,0%,High,True 0% forex (no intl rewards).,0.00%,₹250.00,1.00%,₹500 - ₹4000,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,1%,2.0%,1%,No Cap,Annual Fee Waiver,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
OneCard Metal,SBM,Entry,0,0,6,1%,Points,0.1,1,0.0,No,4,0,1%,0.0,True,"app_based, youth",,4/Qtr (Dom),,1.18%,Low,1% forex; metal app card.,0.00%,₹400.00,1.00%,₹400 - ₹4000,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,1%,1%,1%,No Cap,Fee Waiver only,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""1%""}"
HSBC Cashback,HSBC,Mid,750,750,8,1.5%,Cashback,1.0,1,0.0,No,0,0,3.5%,0.0,False,"dining, cashback",Capped (₹400/mo),,,3.89%,Low,1.5% flat; 10% dining/grocery cap.,0.00%,₹250.00,1.00%,₹400 - ₹4000,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,1.5%,2.0%,1.5%,No Cap,Annual Fee Waiver,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
